team1,team2,team1_score,team2_score,match_date,match_time
FUSION X,Akave Esports GC,1,3,N/A,5:00 PM
NASR Ignite,GIANTX GC,2,0,N/A,12:15 PM
Team Falcons Vega,Odd 1 OUT,2,0,N/A,10:00 AM
Disguised,Revenant Esports,2,1,N/A,5:10 AM
RIDDLE ORDER,NAOS,2,1,N/A,1:25 AM
FULL SENSE,Justice For Tomorrow,2,0,N/A,11:00 PM
KRÜ BLAZE,9z Team GC,3,2,N/A,5:00 PM
Sin Prisa Gaming,BOOM Esports,2,0,N/A,3:05 AM
Rapid Lofi,Revenant Esports,0,2,N/A,1:25 AM
NAOS,Oblivion Force,2,0,N/A,11:00 PM
2Game Esports,M80,3,2,N/A,2:00 PM
Rare Atom,Xi Lai Gaming,0,3,N/A,4:00 AM
Disguised,FULL SENSE,0,2,N/A,3:45 AM
RIDDLE ORDER,Sin Prisa Gaming,0,2,N/A,1:10 AM
Justice For Tomorrow,Rapid Lofi,2,0,N/A,11:00 PM
All Knights,M80,2,3,N/A,2:00 PM
Xi Lai Gaming,Chosen Clique Gaming,3,2,N/A,4:00 AM
NAOS,BOOM Esports,0,2,N/A,3:50 AM
FULL SENSE,Oblivion Force,2,0,N/A,2:00 AM
Revenant Esports,Sin Prisa Gaming,0,2,N/A,11:00 PM
M80,Galorys,2,0,N/A,5:20 PM
2Game Esports,All Knights,2,1,N/A,2:00 PM
Ambitious Legend Gaming,Chosen Clique Gaming,1,2,N/A,7:25 AM
Rare Atom,Xi Lai Gaming,2,1,N/A,4:00 AM
All Knights,Galorys,2,0,N/A,5:00 PM
M80,2Game Esports,0,2,N/A,2:00 PM
Chosen Clique Gaming,Xi Lai Gaming,0,2,N/A,5:35 AM
Rare Atom,Ambitious Legend Gaming,2,0,N/A,4:00 AM
FlyQuest RED,YFP X,1,2,N/A,9:00 PM
FlyQuest RED,Refrag,2,1,N/A,6:15 PM
YFP X,oomfies,2,0,N/A,4:00 PM
NASR Ignite,Karmine Corp GC,2,0,N/A,12:35 PM
GIANTX GC,VALIANT GC,2,0,N/A,10:00 AM
oomfies,mesos millionaires,2,0,N/A,7:00 PM
FlyQuest RED,Teddy Tactics,13,3,N/A,6:00 PM
Teddy Tactics,Army National Guard,13,0,N/A,5:00 PM
mesos millionaires,YFP X,7,13,N/A,4:00 PM
VALIANT GC,BBL Queens,2,0,N/A,12:10 PM
G2 Gozen,NASR Ignite,2,0,N/A,10:00 AM
All Knights,TSM,2,1,N/A,6:50 PM
2Game Esports,M80,0,2,N/A,4:20 PM
RETA Esports,Galorys,0,2,N/A,2:00 PM
G2 Gozen,Odd 1 OUT,2,0,N/A,12:20 PM
Apeks,PCIFIC Espor,3,2,N/A,11:00 AM
HEROIC Valkyries,GIANTX GC,2,0,N/A,10:00 AM
KeepBest Gaming,Ambitious Legend Gaming,1,2,N/A,7:00 AM
Xi Lai Gaming,ZY Gaming,2,1,N/A,4:00 AM
M80,TSM,2,1,N/A,6:45 PM
2Game Esports,Galorys,0,2,N/A,4:25 PM
All Knights,RETA Esports,0,2,N/A,2:00 PM
Team Falcons Vega,BBL Queens,2,1,N/A,11:30 AM
CGN Esports,PCIFIC Espor,0,3,N/A,11:00 AM
ALTERNATE aTTaX Ruby,Karmine Corp GC,0,2,N/A,10:00 AM
Ambitious Legend Gaming,Qing Jiu Club,2,1,N/A,5:50 AM
ZY Gaming,Xtreme Gaming,2,0,N/A,4:00 AM
Galorys,M80,1,2,N/A,5:25 PM
All Knights,2Game Esports,2,1,N/A,2:00 PM
Odd 1 OUT,ALTERNATE aTTaX Ruby,2,0,N/A,11:50 AM
Team Falcons Vega,HEROIC Valkyries,0,2,N/A,10:00 AM
Chosen Clique Gaming,KeepBest Gaming,2,0,N/A,6:05 AM
Rare Atom,Xi Lai Gaming,2,0,N/A,4:00 AM
RETA Esports,M80,1,2,N/A,5:00 PM
TSM,2Game Esports,1,2,N/A,2:00 PM
KeepBest Gaming,Qing Jiu Club,2,0,N/A,6:00 AM
Chosen Clique Gaming,Ambitious Legend Gaming,2,0,N/A,4:00 AM
Galorys,All Knights,0,2,N/A,5:35 PM
TSM,RETA Esports,1,2,N/A,2:00 PM
Team Falcons Vega,GIANTX GC,2,1,N/A,10:00 AM
Xi Lai Gaming,Xtreme Gaming,2,1,N/A,6:15 AM
